blk,Nitrogen,Rate,Yield
1,Urea,1,430
2,Urea,1,343
3,Urea,1,337
4,Urea,1,322
5,Urea,1,228
1,Urea,2,318
2,Urea,2,337
3,Urea,2,341
4,Urea,2,300
5,Urea,2,418
1,Urea,3,328
2,Urea,3,311
3,Urea,3,349
4,Urea,3,301
5,Urea,3,240
1,Urea,4,335
2,Urea,4,303
3,Urea,4,309
4,Urea,4,310
5,Urea,4,402
1,Urea,5,314
2,Urea,5,333
3,Urea,5,346
4,Urea,5,403
5,Urea,5,350
1,Urea,6,301
2,Urea,6,341
3,Urea,6,442
4,Urea,6,310
5,Urea,6,328
1,Calcium nitrate,1,353
2,Calcium nitrate,1,381
3,Calcium nitrate,1,355
4,Calcium nitrate,1,358
5,Calcium nitrate,1,485
1,Calcium nitrate,2,381
2,Calcium nitrate,2,405
3,Calcium nitrate,2,377
4,Calcium nitrate,2,382
5,Calcium nitrate,2,380
1,Calcium nitrate,3,420
2,Calcium nitrate,3,427
3,Calcium nitrate,3,512
4,Calcium nitrate,3,434
5,Calcium nitrate,3,408
1,Calcium nitrate,4,453
2,Calcium nitrate,4,438
3,Calcium nitrate,4,540
4,Calcium nitrate,4,453
5,Calcium nitrate,4,470
1,Calcium nitrate,5,467
2,Calcium nitrate,5,467
3,Calcium nitrate,5,434
4,Calcium nitrate,5,425
5,Calcium nitrate,5,450
1,Calcium nitrate,6,426
2,Calcium nitrate,6,437
3,Calcium nitrate,6,452
4,Calcium nitrate,6,444
5,Calcium nitrate,6,368
1,Potassium nitrate,1,325
2,Potassium nitrate,1,343
3,Potassium nitrate,1,372
4,Potassium nitrate,1,445
5,Potassium nitrate,1,353
1,Potassium nitrate,2,334
2,Potassium nitrate,2,365
3,Potassium nitrate,2,342
4,Potassium nitrate,2,348
5,Potassium nitrate,2,372
1,Potassium nitrate,3,325
2,Potassium nitrate,3,341
3,Potassium nitrate,3,349
4,Potassium nitrate,3,362
5,Potassium nitrate,3,374
1,Potassium nitrate,4,369
2,Potassium nitrate,4,351
3,Potassium nitrate,4,371
4,Potassium nitrate,4,356
5,Potassium nitrate,4,439
1,Potassium nitrate,5,334
2,Potassium nitrate,5,365
3,Potassium nitrate,5,345
4,Potassium nitrate,5,365
5,Potassium nitrate,5,358
1,Potassium nitrate,6,326
2,Potassium nitrate,6,333
3,Potassium nitrate,6,337
4,Potassium nitrate,6,350
5,Potassium nitrate,6,250
